Group name,Activity type,Website,Area,Events URL
Starfire Sports Adult Soccer Leagues,Indoor Sports,https://www.starfiresports.com/,Tukwila,https://www.starfiresports.com/events/
Underdog Sports Kickball (Seattle/South King County),Indoor Sports,https://www.underdogseattle.com/,South King County,https://www.underdogseattle.com/league/102625/schedule
Arena Sports SODO Indoor Soccer,Indoor Sports,https://www.arenasports.net/,SODO,https://www.arenasports.net/parties-events/events/
PFM Roller Derby,Indoor Sports,https://www.pfmrollerderby.org/,"Magnuson, Seattle",https://pfmrollerderby.org/calendar/
YMCA of Greater Seattle,Fitness,https://www.seattleymca.org/,Seattle / Puget Sound area,https://www.seattleymca.org/schedules/tr-activity-finder?utm_source=ygs_website_global_nav_fullwidth_bottom_button
Seattle Curling Club,Indoor Sports,https://curlingseattle.org/,Seattle,https://curlingseattle.org/calendar
Jet City Roller Derby,Indoor Sports,https://jetcityrollerderby.com/,Seattle / Puget Sound area,https://jetcityrollerderby.com/schedule
Sounders FC Pub Leagues & Fan Clubs,Indoor Sports,https://www.soundersfc.com/supporters/groups/,Seattle / Puget Sound area,https://www.soundersfc.com/schedule/matches
Renton Rowing Center,Water Sports,https://www.rentonrowingcenter.org/,Renton,https://www.rentonrowingcenter.org/adultrowing
Seattle Flying Dragon Boat Club,Water Sports,https://www.seattleflyingdragons.org/,Seattle,https://www.seattleflyingdragons.org/calnew-page
Center for Wooden Boats,Water Sports,https://www.cwb.org/,Seattle / Puget Sound area,https://www.cwb.org/calendar
Seattle Audubon Society (Birds Connect Seattle),Birding,https://seattleaudubon.org,Seattle,https://birdsconnectsea.org/calendar/
Washington Trails Association,Nature/Conservation,https://www.wta.org/,Seattle / Puget Sound area,https://www.wta.org/get-involved/events
Seward Park Audubon Center,Birding,https://www.audubon.org/seward-park/get-involved,Seward Park,https://www.audubon.org/events?view_type=row&location=Seward+Park+Audubon+Center
Seattle Running Club,Running,https://www.seattlerunningclub.org/,Seattle,https://www.seattlerunningclub.org/calendar-new/
The Mountaineers,Climbing,https://www.mountaineers.org/locations-lodges/seattle-program-center,Seattle,https://www.mountaineers.org/activities
Sno-King Watershed Council,Nature/Conservation,https://www.snokingwatershedcouncil.org/,Seattle / Puget Sound area,https://snokingwatershedcouncil.org/news/events/
Cascade Bicycle Club,Cycling,https://cascade.org/,Seattle / Puget Sound area,https://cascade.org/rides-events/ride-event-search
SoundBio Lab,Science,https://www.sound.bio/,U-District,https://www.sound.bio/workshops
Seattle Robotics Society,Science,https://seattlerobotics.org/,Seattle,https://seattlerobotics.org/calendar/
Northwest Woodworkers Guild,Art,https://www.nwwoodworkers.org/,Seattle / Puget Sound area,https://nwwoodworkers.org/schedule.html
Puget Sound Repeater Group,Science,https://web.psrg.org/,Puget Sound,https://web.psrg.org/calendar/
Seattle Chess Club,Games,https://seattlechess.club/,Seattle,https://seattlechess.club/events-calendar/
Seattle Pinball League,Games,https://www.splpinball.com/,Seattle,https://nwpinballcollective.org/Events
Silent Book Club Seattle,Community/Volunteering,https://silentbook.club/,Seattle,https://www.meetup.com/silent-book-club-seattle/
Seattle Astronomical Society,Astronomy,https://www.seattleastro.org/,Seattle,https://www.seattleastro.org/events
Cocktails for Creatives Seattle,Community/Volunteering,https://seattle.eater.com/maps/best-cocktails-in-seattle,Seattle,https://www.eventbrite.com/e/cocktails-for-creatives-seattle-film-music-industry-monthly-mingle-tickets-1992381458576
Gearhouse Community Outdoor Club,Outdoors,https://www.joingearhouse.com,Seattle,https://www.joingearhouse.com/calendar
Lake Washington Rowing Club (LWRC),Water Sports,https://www.lakewashingtonrowing.com/,Seattle / Puget Sound area,https://www.lakewashingtonrowing.com/lwrc-calendar
Pocock Rowing Club,Water Sports,https://www.pocockrowingclub.org/programs,Seattle / Puget Sound area,https://www.pocockrowingclub.org/schedule
